DATE,DGS10
2018/1/2,2.46
2018/1/3,2.44
2018/1/4,2.46
2018/1/5,2.47
2018/1/8,2.49
2018/1/9,2.55
2018/1/10,2.55
2018/1/11,2.54
2018/1/12,2.55
2018/1/15,.
2018/1/16,2.54
2018/1/17,2.57
2018/1/18,2.62
2018/1/19,2.64
2018/1/22,2.66
2018/1/23,2.63
2018/1/24,2.65
2018/1/25,2.63
2018/1/26,2.66
2018/1/29,2.7
2018/1/30,2.73
2018/1/31,2.72
2018/2/1,2.78
2018/2/2,2.84
2018/2/5,2.77
2018/2/6,2.79
2018/2/7,2.84
2018/2/8,2.85
2018/2/9,2.83
2018/2/12,2.86
2018/2/13,2.83
2018/2/14,2.91
2018/2/15,2.9
2018/2/16,2.87
2018/2/19,.
2018/2/20,2.88
2018/2/21,2.94
2018/2/22,2.92
2018/2/23,2.88
2018/2/26,2.86
2018/2/27,2.9
2018/2/28,2.87
2018/3/1,2.81
2018/3/2,2.86
2018/3/5,2.88
2018/3/6,2.88
2018/3/7,2.89
2018/3/8,2.86
2018/3/9,2.9
2018/3/12,2.87
2018/3/13,2.84
2018/3/14,2.81
2018/3/15,2.82
2018/3/16,2.85
2018/3/19,2.85
2018/3/20,2.89
2018/3/21,2.89
2018/3/22,2.83
2018/3/23,2.82
2018/3/26,2.85
2018/3/27,2.78
2018/3/28,2.77
2018/3/29,2.74
2018/3/30,.
2018/4/2,2.73
2018/4/3,2.79
2018/4/4,2.79
2018/4/5,2.83
2018/4/6,2.77
2018/4/9,2.78
2018/4/10,2.8
2018/4/11,2.79
2018/4/12,2.83
2018/4/13,2.82
2018/4/16,2.83
2018/4/17,2.82
2018/4/18,2.87
2018/4/19,2.92
2018/4/20,2.96
2018/4/23,2.98
2018/4/24,3
2018/4/25,3.03
2018/4/26,3
2018/4/27,2.96
2018/4/30,2.95
2018/5/1,2.97
2018/5/2,2.97
2018/5/3,2.94
2018/5/4,2.95
2018/5/7,2.95
2018/5/8,2.97
2018/5/9,3
2018/5/10,2.97
2018/5/11,2.97
2018/5/14,3
2018/5/15,3.08
2018/5/16,3.09
2018/5/17,3.11
2018/5/18,3.06
2018/5/21,3.06
2018/5/22,3.06
2018/5/23,3.01
2018/5/24,2.98
2018/5/25,2.93
2018/5/28,.
2018/5/29,2.77
2018/5/30,2.84
2018/5/31,2.83
2018/6/1,2.89
2018/6/4,2.94
2018/6/5,2.92
2018/6/6,2.97
2018/6/7,2.93
2018/6/8,2.93
2018/6/11,2.96
2018/6/12,2.96
2018/6/13,2.98
2018/6/14,2.94
2018/6/15,2.93
2018/6/18,2.92
2018/6/19,2.89
2018/6/20,2.93
2018/6/21,2.9
2018/6/22,2.9
2018/6/25,2.87
